,Bins,T0,T10,T20,T30,T40,T50,T60,T70,T80,T90,T100,T110,T120
0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,56.188199999999995,0,0,0,0,0,0,0,0,0,0,0,0,0
2,111.37639999999999,0,1,4,3,0,1,0,1,0,0,0,1,0
3,166.56459999999998,25,308,366,294,88,79,42,36,30,21,12,14,2
4,221.75279999999998,37,458,556,398,111,103,76,62,35,26,11,18,3
5,276.941,38,278,398,314,89,64,58,34,23,13,9,10,4
6,332.12919999999997,25,182,262,254,65,54,33,24,10,11,4,8,0
7,387.31739999999996,14,159,196,176,47,37,28,12,7,6,3,7,0
8,442.50559999999996,9,78,133,133,28,29,25,12,6,5,2,3,1
9,497.69379999999995,3,64,106,103,20,13,14,22,4,2,2,2,0
10,552.882,7,38,67,73,20,27,12,10,3,5,2,2,2
11,608.0701999999999,0,26,58,75,17,17,5,7,4,3,1,1,0
12,663.2583999999999,2,16,57,49,18,15,8,4,2,0,1,2,0
13,718.4466,0,11,30,28,13,5,8,1,4,1,0,1,0
14,773.6347999999999,0,5,24,28,15,4,6,2,1,0,1,0,1
15,828.8229999999999,0,9,18,26,6,8,3,8,2,2,0,0,0
16,884.0111999999999,3,5,19,14,6,5,4,3,0,0,0,0,1
17,939.1994,0,6,12,13,6,4,4,2,3,1,0,0,0
18,994.3875999999999,0,5,0,19,3,9,4,2,3,1,1,1,2
19,1049.5757999999998,0,3,5,12,7,8,4,0,1,3,0,0,0
20,1104.764,0,3,2,7,4,6,6,0,2,1,0,0,0
21,1159.9522,0,2,2,10,8,2,1,0,2,2,2,0,3
22,1215.1403999999998,0,1,4,8,1,5,1,2,3,2,2,1,0
23,1270.3285999999998,0,1,4,6,2,3,1,3,1,0,0,0,1
24,1325.5167999999999,0,0,3,3,0,4,1,2,1,0,2,0,0
25,1380.705,0,0,3,4,1,4,3,0,0,0,0,0,3
26,1435.8932,0,0,3,7,1,3,2,1,1,0,0,0,1
27,1491.0813999999998,0,0,0,4,2,1,2,0,1,1,2,0,1
28,1546.2695999999999,0,0,1,3,5,4,0,1,4,0,0,0,3
29,1601.4578,0,0,0,5,0,0,0,0,1,1,0,0,0
30,1656.6459999999997,0,0,2,4,0,4,1,1,1,2,1,0,1
31,1711.8341999999998,0,2,0,1,0,3,0,2,0,0,0,0,1
32,1767.0223999999998,0,0,0,2,2,3,2,1,0,1,0,0,2
33,1822.2105999999999,0,0,0,4,5,1,1,0,1,0,2,0,4
34,1877.3988,0,0,0,2,2,3,1,0,1,2,1,0,1
35,1932.5869999999998,1,0,0,2,0,1,1,0,1,0,0,0,1
36,1987.7751999999998,0,0,1,3,1,1,0,0,0,1,0,0,3
37,2042.9633999999999,0,0,0,1,1,4,1,1,0,1,0,0,2
38,2098.1515999999997,0,0,0,1,1,2,3,0,0,0,1,0,1
39,2153.3397999999997,0,0,0,0,3,2,0,1,1,0,0,0,2
40,2208.528,0,0,0,0,2,2,1,0,0,1,0,0,2
41,2263.7162,0,0,0,1,0,1,1,0,0,1,2,0,2
42,2318.9044,0,0,0,0,1,1,2,0,0,1,0,1,4
43,2374.0926,0,0,0,2,2,1,1,1,2,3,0,0,1
44,2429.2807999999995,0,0,0,0,0,0,0,1,1,0,0,1,2
45,2484.4689999999996,0,0,0,0,0,1,1,1,1,0,1,0,0
46,2539.6571999999996,0,0,0,0,0,0,0,1,1,2,2,0,0
47,2594.8453999999997,0,0,0,0,0,2,0,1,1,0,1,0,1
48,2650.0335999999998,0,0,0,0,1,2,0,1,1,0,1,0,0
49,2705.2218,0,0,0,0,1,8,8,6,9,6,1,1,0
