,Bins,T0,T10,T20,T30,T40,T50,T60,T70,T80,T90,T100,T110,T120
0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,56.188199999999995,0,0,0,0,0,0,0,0,0,0,0,0,0
2,111.37639999999999,0,2,0,0,2,0,2,1,1,1,0,0,0
3,166.56459999999998,95,178,34,115,168,145,109,91,40,29,23,19,31
4,221.75279999999998,155,289,52,137,213,231,168,124,51,58,33,42,38
5,276.941,113,208,45,124,204,231,156,95,66,32,37,40,29
6,332.12919999999997,85,187,31,65,160,198,130,93,46,26,22,29,20
7,387.31739999999996,69,126,19,60,133,132,92,72,18,22,14,19,14
8,442.50559999999996,36,87,12,52,79,113,68,50,17,13,12,13,11
9,497.69379999999995,32,72,8,33,75,76,63,43,16,12,10,11,8
10,552.882,33,62,4,21,47,76,41,35,17,9,8,3,10
11,608.0701999999999,25,40,7,18,41,67,39,21,5,13,5,1,6
12,663.2583999999999,19,23,3,15,40,40,39,29,10,8,4,5,3
13,718.4466,12,24,2,12,27,45,28,10,4,6,4,2,4
14,773.6347999999999,13,10,5,11,13,30,29,17,4,6,4,0,3
15,828.8229999999999,11,11,3,8,19,28,29,18,3,2,1,6,2
16,884.0111999999999,6,9,0,8,22,22,20,7,7,2,4,4,2
17,939.1994,13,14,1,10,12,24,18,12,1,6,3,4,1
18,994.3875999999999,7,8,1,7,14,27,17,14,4,4,5,0,0
19,1049.5757999999998,7,11,0,3,5,13,16,11,4,3,2,2,1
20,1104.764,3,4,0,4,7,15,18,12,7,0,1,0,0
21,1159.9522,2,2,0,3,4,10,8,9,1,5,1,1,2
22,1215.1403999999998,5,4,0,3,6,5,9,7,2,6,0,3,2
23,1270.3285999999998,1,1,0,0,5,15,11,6,2,0,4,3,1
24,1325.5167999999999,1,1,0,1,1,8,8,3,3,2,1,1,0
25,1380.705,0,1,0,0,3,5,9,5,4,1,0,1,0
26,1435.8932,1,1,2,0,5,9,6,5,3,2,0,0,0
27,1491.0813999999998,2,1,0,0,2,4,7,4,0,1,1,2,0
28,1546.2695999999999,0,0,0,1,0,5,2,2,3,0,2,0,0
29,1601.4578,0,1,0,1,1,3,2,6,0,1,0,1,1
30,1656.6459999999997,1,0,0,0,1,1,2,1,5,0,0,0,0
31,1711.8341999999998,1,0,0,1,2,5,3,2,1,0,1,1,0
32,1767.0223999999998,0,2,0,1,1,2,2,2,1,1,1,1,0
33,1822.2105999999999,1,0,0,0,0,1,5,4,0,0,1,0,1
34,1877.3988,0,1,0,0,0,2,2,2,1,0,1,1,0
35,1932.5869999999998,0,0,0,0,1,1,3,3,0,0,1,1,0
36,1987.7751999999998,0,0,0,0,0,1,2,3,1,1,0,0,0
37,2042.9633999999999,1,0,0,0,0,2,2,2,1,0,1,0,0
38,2098.1515999999997,0,0,0,0,0,1,1,1,1,1,0,1,0
39,2153.3397999999997,0,0,0,0,0,2,1,4,1,0,1,0,0
40,2208.528,0,0,0,0,0,1,1,2,3,0,0,0,2
41,2263.7162,1,0,0,0,0,0,3,3,0,0,1,0,0
42,2318.9044,0,0,0,0,0,2,2,1,2,1,1,0,2
43,2374.0926,0,0,0,0,1,0,2,2,2,0,0,1,0
44,2429.2807999999995,0,0,0,0,1,1,1,2,0,2,0,1,1
45,2484.4689999999996,0,0,0,0,0,0,1,1,0,5,1,0,1
46,2539.6571999999996,0,0,0,0,0,0,0,2,2,0,0,0,1
47,2594.8453999999997,0,0,0,0,0,0,0,2,0,2,0,2,0
48,2650.0335999999998,0,0,0,0,0,0,0,0,1,2,0,0,1
49,2705.2218,0,0,0,0,0,0,1,1,2,1,2,0,3
