,Bins,T0,T10,T20,T30,T40,T50,T60,T70,T80,T90,T100,T110,T120
0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,56.188199999999995,238,4052,4823,3306,804,1056,1982,1356,1225,1452,867,1446,603
2,111.37639999999999,139,4716,4971,3387,695,889,2189,951,764,916,579,912,353
3,166.56459999999998,36,1648,1994,1310,204,268,340,242,174,216,134,253,68
4,221.75279999999998,12,761,872,618,114,110,124,95,53,70,39,67,32
5,276.941,8,371,493,362,85,72,81,53,39,37,20,23,13
6,332.12919999999997,2,184,263,235,44,38,42,23,15,12,8,9,19
7,387.31739999999996,3,131,201,150,46,38,26,18,19,14,14,9,20
8,442.50559999999996,3,87,135,113,27,16,23,12,25,14,11,3,17
9,497.69379999999995,1,56,97,105,23,31,18,7,14,20,15,1,21
10,552.882,2,23,78,59,19,17,10,6,20,16,7,5,26
11,608.0701999999999,0,28,54,44,19,8,5,7,14,20,12,0,30
12,663.2583999999999,1,18,39,39,12,13,7,9,12,18,18,0,25
13,718.4466,0,14,27,31,7,5,4,3,19,6,14,2,21
14,773.6347999999999,0,11,19,24,10,8,4,2,13,12,8,0,33
15,828.8229999999999,0,6,14,24,4,6,4,3,12,10,10,3,30
16,884.0111999999999,0,15,14,17,4,9,6,2,8,6,15,0,20
17,939.1994,0,10,17,9,4,5,3,4,9,7,12,1,29
18,994.3875999999999,0,4,10,16,6,2,2,3,14,6,10,0,19
19,1049.5757999999998,1,3,16,7,4,2,3,1,3,7,11,2,30
20,1104.764,1,3,6,9,3,5,3,1,2,5,10,1,24
21,1159.9522,0,5,5,4,3,3,1,2,4,3,10,0,23
22,1215.1403999999998,0,3,5,5,5,6,1,3,4,1,7,0,20
23,1270.3285999999998,0,2,2,6,3,3,0,2,3,5,11,0,18
24,1325.5167999999999,1,1,5,8,5,6,3,0,5,4,4,2,19
25,1380.705,0,4,12,17,3,6,2,2,3,6,7,2,15
26,1435.8932,0,5,14,23,7,15,5,1,5,3,6,0,25
27,1491.0813999999998,0,5,4,8,9,6,4,3,4,0,3,0,22
28,1546.2695999999999,0,1,1,6,0,4,2,2,2,2,5,0,20
29,1601.4578,0,0,0,2,3,4,3,1,0,2,3,0,26
30,1656.6459999999997,0,0,0,1,4,3,2,0,2,5,3,1,17
31,1711.8341999999998,0,1,0,0,0,3,0,0,1,2,6,0,15
32,1767.0223999999998,0,2,2,0,3,14,10,12,24,17,13,2,38
33,1822.2105999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1877.3988,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1932.5869999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1987.7751999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2042.9633999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2098.1515999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2153.3397999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2208.528,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2263.7162,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2318.9044,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2374.0926,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2429.2807999999995,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2484.4689999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2539.6571999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2594.8453999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2650.0335999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2705.2218,0,0,0,0,0,0,0,0,0,0,0,0,0
