,Bins,T0,T10,T20,T30,T40,T50,T60,T70,T80,T90,T100,T110,T120
0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,56.188199999999995,1,2,4,0,0,1,1,0,1,0,0,0,0
2,111.37639999999999,7258,4948,4220,3152,2202,2012,1673,1233,1202,792,272,619,434
3,166.56459999999998,4505,3208,2739,1925,1430,1186,1044,709,764,505,169,353,230
4,221.75279999999998,1566,1197,1054,754,616,472,434,287,291,181,60,108,76
5,276.941,568,488,441,353,280,255,209,144,135,66,41,53,33
6,332.12919999999997,243,198,216,173,155,125,94,77,62,48,13,34,20
7,387.31739999999996,110,77,119,96,89,71,70,41,39,24,6,23,8
8,442.50559999999996,45,49,65,42,44,52,55,34,27,7,5,28,14
9,497.69379999999995,18,15,38,25,39,33,44,20,12,8,8,22,17
10,552.882,13,16,22,16,21,17,25,20,15,3,2,17,15
11,608.0701999999999,5,5,13,13,17,25,18,13,11,1,3,18,15
12,663.2583999999999,1,5,10,8,7,13,12,9,9,7,2,24,17
13,718.4466,3,3,3,6,4,9,6,10,5,4,1,14,11
14,773.6347999999999,2,1,4,2,6,7,6,6,8,3,2,12,12
15,828.8229999999999,0,0,3,4,4,7,13,5,4,1,1,14,13
16,884.0111999999999,2,1,1,2,4,9,8,4,4,6,0,11,13
17,939.1994,1,0,3,4,4,3,6,7,2,2,1,4,11
18,994.3875999999999,1,0,2,1,5,6,5,6,5,2,1,3,3
19,1049.5757999999998,0,0,0,1,1,8,7,6,3,4,1,10,4
20,1104.764,0,1,0,0,1,2,0,7,2,2,1,6,6
21,1159.9522,0,0,1,0,2,3,5,5,0,1,1,5,4
22,1215.1403999999998,0,0,0,0,1,4,2,1,5,0,0,3,6
23,1270.3285999999998,1,1,1,1,1,1,4,1,4,2,0,2,6
24,1325.5167999999999,1,2,2,4,4,3,3,1,2,0,1,4,9
25,1380.705,0,0,0,2,0,3,3,5,5,1,2,6,5
26,1435.8932,1,1,0,0,2,2,2,3,2,4,0,4,4
27,1491.0813999999998,0,0,0,1,0,5,1,4,4,1,1,4,7
28,1546.2695999999999,0,1,1,0,0,1,3,4,3,1,0,4,3
29,1601.4578,0,0,0,0,0,2,2,2,5,2,2,0,1
30,1656.6459999999997,0,0,1,0,2,0,1,5,4,1,0,2,4
31,1711.8341999999998,0,0,0,0,1,0,1,3,1,0,1,5,1
32,1767.0223999999998,0,0,0,0,0,0,0,7,7,4,5,14,14
33,1822.2105999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1877.3988,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1932.5869999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1987.7751999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2042.9633999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2098.1515999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2153.3397999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2208.528,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2263.7162,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2318.9044,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2374.0926,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2429.2807999999995,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2484.4689999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2539.6571999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2594.8453999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2650.0335999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2705.2218,0,0,0,0,0,0,0,0,0,0,0,0,0
